"구분별","상태별","시점","인원[명]",
"전체","국내발생","2020. 07. 15","11",
"전체","국내발생","2020. 07. 16","14",
"전체","국내발생","2020. 07. 17","21",
"전체","국내발생","2020. 07. 18","11",
"전체","국내발생","2020. 07. 19","21",
"전체","국내발생","2020. 07. 20","4",
"전체","국내발생","2020. 07. 21","20",
"전체","국내발생","2020. 07. 22","29",
"전체","국내발생","2020. 07. 23","39",
"전체","국내발생","2020. 07. 24","28",
"전체","국내발생","2020. 07. 25","27",
"전체","국내발생","2020. 07. 26","12",
"전체","국내발생","2020. 07. 27","9",
"전체","국내발생","2020. 07. 28","5",
"전체","국내발생","2020. 07. 29","14",
"전체","국내발생","2020. 07. 30","7",
"전체","국내발생","2020. 07. 31","14",
"전체","국내발생","2020. 08. 01","8",
"전체","국내발생","2020. 08. 02","8",
"전체","국내발생","2020. 08. 03","3",
"전체","국내발생","2020. 08. 04","13",
"전체","국내발생","2020. 08. 05","15",
"전체","국내발생","2020. 08. 06","20",
"전체","국내발생","2020. 08. 07","9",
"전체","국내발생","2020. 08. 08","30",
"전체","국내발생","2020. 08. 09","30",
"전체","국내발생","2020. 08. 10","17",
"전체","국내발생","2020. 08. 11","23",
"전체","국내발생","2020. 08. 12","35",
"전체","국내발생","2020. 08. 13","47",
"전체","국내발생","2020. 08. 14","85",
"전체","국내발생","2020. 08. 15","155",
"전체","국내발생","2020. 08. 16","267",
"전체","국내발생","2020. 08. 17","188",
"전체","국내발생","2020. 08. 18","235",
"전체","국내발생","2020. 08. 19","283",
"전체","국내발생","2020. 08. 20","276",
"전체","국내발생","2020. 08. 21","315",
"전체","국내발생","2020. 08. 22","315",
"전체","국내발생","2020. 08. 23","387",
"전체","국내발생","2020. 08. 24","258",
"전체","국내발생","2020. 08. 25","264",
"전체","국내발생","2020. 08. 26","307",
"전체","국내발생","2020. 08. 27","434",
"전체","국내발생","2020. 08. 28","359",
"전체","국내발생","2020. 08. 29","308",
"전체","국내발생","2020. 08. 30","283",
"전체","국내발생","2020. 08. 31","238",
"전체","국내발생","2020. 09. 01","222",
"전체","국내발생","2020. 09. 02","253",
"전체","국내발생","2020. 09. 03","188",
"전체","국내발생","2020. 09. 04","189",
"전체","국내발생","2020. 09. 05","158",
"전체","국내발생","2020. 09. 06","152",
"전체","국내발생","2020. 09. 07","108",
"전체","국내발생","2020. 09. 08","120",
"전체","국내발생","2020. 09. 09","144",
"전체","국내발생","2020. 09. 10","141",
"전체","국내발생","2020. 09. 11","161",
"전체","국내발생","2020. 09. 12","118",
"전체","국내발생","2020. 09. 13","99",
"전체","국내발생","2020. 09. 14","98",
"전체","국내발생","2020. 09. 15","91",
"전체","국내발생","2020. 09. 16","105",
"전체","국내발생","2020. 09. 17","145",
"전체","국내발생","2020. 09. 18","109",
"전체","국내발생","2020. 09. 19","106",
"전체","국내발생","2020. 09. 20","72",
"전체","국내발생","2020. 09. 21","55",
"전체","국내발생","2020. 09. 22","51",
"전체","국내발생","2020. 09. 23","99",
"전체","국내발생","2020. 09. 24","110",
"전체","국내발생","2020. 09. 25","95",
"전체","국내발생","2020. 09. 26","12",
"전체","국내발생","2020. 09. 27","73",
"전체","국내발생","2020. 09. 28","40",
"전체","국내발생","2020. 09. 29","23",
"전체","국내발생","2020. 09. 30","93",
"전체","국내발생","2020. 10. 01","67",
"전체","국내발생","2020. 10. 02","53",
"전체","국내발생","2020. 10. 03","23",
"전체","국내발생","2020. 10. 04","47",
"전체","국내발생","2020. 10. 05","64",
"전체","국내발생","2020. 10. 06","66",
"전체","국내발생","2020. 10. 07","94",
"전체","국내발생","2020. 10. 08","60",
"전체","국내발생","2020. 10. 09","38",
"전체","국내발생","2020. 10. 10","61",
"전체","국내발생","2020. 10. 11","46",
"전체","국내발생","2020. 10. 12","68",
"전체","국내발생","2020. 10. 13","69",
"전체","국내발생","2020. 10. 14","53",
"전체","국내발생","2020. 10. 15","95",
"전체","국내발생","2020. 10. 16","41",
"전체","국내발생","2020. 10. 17","62",
"전체","국내발생","2020. 10. 18","71",
"전체","국내발생","2020. 10. 19","16",
"전체","국내발생","2020. 10. 20","41",
"전체","국내발생","2020. 10. 21","57",
"전체","국내발생","2020. 10. 22","104",
"전체","국내발생","2020. 10. 23","138",
"전체","국내발생","2020. 10. 24","66",
"전체","국내발생","2020. 10. 25","50",
"전체","국내발생","2020. 10. 26","94",
"전체","국내발생","2020. 10. 27","72",
"전체","국내발생","2020. 10. 28","96",
"전체","국내발생","2020. 10. 29","106",
"전체","국내발생","2020. 10. 30","93",
"전체","국내발생","2020. 10. 31","96",
"전체","국내발생","2020. 11. 01","101",
"전체","국내발생","2020. 11. 02","79",
"전체","국내발생","2020. 11. 03","46",
"전체","국내발생","2020. 11. 04","98",
"전체","국내발생","2020. 11. 05","108",
"전체","국내발생","2020. 11. 06","117",
"전체","국내발생","2020. 11. 07","72",
"전체","국내발생","2020. 11. 08","118",
"전체","국내발생","2020. 11. 09","99",
"전체","국내발생","2020. 11. 10","71",
"전체","국내발생","2020. 11. 11","113",
"전체","신규","2020. 01. 31","",
"전체","신규","2020. 02. 03","",
"전체","신규","2020. 02. 04","18",
"전체","신규","2020. 02. 05","1",
"전체","신규","2020. 02. 06","4",
"전체","신규","2020. 02. 07","1",
"전체","신규","2020. 02. 08","0",
"전체","신규","2020. 02. 09","3",
"전체","신규","2020. 02. 10","0",
"전체","신규","2020. 02. 11","1",
"전체","신규","2020. 02. 12","0",
"전체","신규","2020. 02. 13","0",
"전체","신규","2020. 02. 14","0",
"전체","신규","2020. 02. 15","0",
"전체","신규","2020. 02. 16","1",
"전체","신규","2020. 02. 17","1",
"전체","신규","2020. 02. 18","1",
"전체","신규","2020. 02. 19","20",
"전체","신규","2020. 02. 20","53",
"전체","신규","2020. 02. 21","100",
"전체","신규","2020. 02. 22","229",
"전체","신규","2020. 02. 23","169",
"전체","신규","2020. 02. 24","231",
"전체","신규","2020. 02. 25","144",
"전체","신규","2020. 02. 26","284",
"전체","신규","2020. 02. 27","505",
"전체","신규","2020. 02. 28","571",
"전체","신규","2020. 02. 29","813",
"전체","신규","2020. 03. 01","586",
"전체","신규","2020. 03. 02","476",
"전체","신규","2020. 03. 03","600",
"전체","신규","2020. 03. 04","516",
"전체","신규","2020. 03. 05","438",
"전체","신규","2020. 03. 06","518",
"전체","신규","2020. 03. 07","483",
"전체","신규","2020. 03. 08","367",
"전체","신규","2020. 03. 09","248",
"전체","신규","2020. 03. 10","131",
"전체","신규","2020. 03. 11","242",
"전체","신규","2020. 03. 12","114",
"전체","신규","2020. 03. 13","110",
"전체","신규","2020. 03. 14","107",
"전체","신규","2020. 03. 15","76",
"전체","신규","2020. 03. 16","74",
"전체","신규","2020. 03. 17","84",
"전체","신규","2020. 03. 18","93",
"전체","신규","2020. 03. 19","152",
"전체","신규","2020. 03. 20","87",
"전체","신규","2020. 03. 21","147",
"전체","신규","2020. 03. 22","98",
"전체","신규","2020. 03. 23","64",
"전체","신규","2020. 03. 24","76",
"전체","신규","2020. 03. 25","100",
"전체","신규","2020. 03. 26","104",
"전체","신규","2020. 03. 27","91",
"전체","신규","2020. 03. 28","146",
"전체","신규","2020. 03. 29","105",
"전체","신규","2020. 03. 30","78",
"전체","신규","2020. 03. 31","125",
"전체","신규","2020. 04. 01","101",
"전체","신규","2020. 04. 02","89",
"전체","신규","2020. 04. 03","86",
"전체","신규","2020. 04. 04","94",
"전체","신규","2020. 04. 05","81",
"전체","신규","2020. 04. 06","47",
"전체","신규","2020. 04. 07","47",
